Language_ID	AUTOTYP_area	Longitude	Latitude
assy1241	Greater Mesopotamia	43	36.75
astu1245	Europe	-6.02227	42.4181
asue1235	S New Guinea	139.123	-5.98341
asum1237	Oceania	166.499	-11.2969
asun1235	African Savannah	5.42081	10.0849
asun1236	Mesoamerica	-96.8704	16.8762
asur1254	Indic	83.4562	21.5721
asut1235	S Africa	37.8323	-4.17978
ataa1240	Oceania	122.9	9.715
atac1235	Andean	-79.778137	0.834931
atak1252	E North America	-93.0827	30.9121
atam1239	N Australia	142.273	-11.0018
atam1240	Oceania	125.499	7.7789
atat1238	Mesoamerica	-97.67753	17.07133
atay1247	Oceania	121.388	24.5209
atem1241	N Coast New Guinea	144.806	-5.08137
athi1234	N Australia	142.4	-17.2
athp1241	Indic	87.3296	26.8794
atii1237	Oceania	122.512	11.1539
atik1240	E North America	-73.7989	47.9555
atla1271	Mesoamerica	-98.607579	17.311733
atoh1238	S New Guinea	138.666	-6.27123
aton1241	Indic	90.658722	25.346508
aton1242	African Savannah	9.72121	6.03539
ator1244	NE South America	-60.286	2.481
atsa1241	African Savannah	8.48301	9.95914
atsa1242	Andean	-69.5	-14.1666
atsu1245	California	-120.661	40.4271
atta1243	Indic	76.5365	11.1575
atti1239	African Savannah	-3.8209	5.9977
atzi1235	Mesoamerica	-99.9239	19.3871
auhe1237	S New Guinea	151.002	-10.0959
aulu1238	Oceania	167.697	-16.3579
aura1243	NE South America	-46.792	-4.137
aush1241	S Africa	29.0168	-11.6295
aush1242	NE South America	-74.5411	-3.3196
aust1252	Europe	16.225	48.1197
aust1253	S Australia	135	-25
aust1271	S Australia	145	-30
aust1304	Oceania	-149.462	-23.3843
auuu1241	N Coast New Guinea	142.105	-3.53277
auwe1239	N Coast New Guinea	141.254	-3.33662
auye1238	N Coast New Guinea	136.096	-3.43705
auyo1240	African Savannah	11.322	9.85747
avac1239	NE South America	-48.1336	-13.6081
avar1256	Greater Mesopotamia	46.558	41.7047
avat1244	African Savannah	0.41314	6.8688
avau1237	N Coast New Guinea	150.427	-6.24342
aves1237	Greater Mesopotamia	62.112	34.217
avik1243	African Savannah	-5.2529	5.15838
